metric,correlationWithStatus,correlationWithReviews,mean,median,min,max,standardDeviation
Files Changed,-0.03199839047725217,0.05001184749105775,19.081270732329674,2,0,60008,535.756822951274
Additions,-0.015295793251350064,0.09664850220745215,652.7411329420771,17,0,1448863,15219.70989604277
Deletions,-0.0490288767845799,0.1047572917566429,812.6895253891299,2,0,688542,17607.44431842335
Analysis Time,-0.318765464046064,0.12044149424057414,2453.279418910011,87.85819444444445,1.0005555555555556,116725.73472222222,7656.2175803910695
Description Length,-0.01317531498702591,0.06774972493460826,453.645891809135,164,0,31916,959.3032780963001
Number of Participants,-0.14740607946216477,1,3.817300331717275,3,0,278,4.665397290686237
Number of Comments,-0.13896163975951017,0.7195406173220315,5.0205409543250825,2,0,590,12.508796052443078
